title,primary_language,year,genres_str,movieId,genres_list
The Amazing Spider-Man 2,English,2014,"Action, Adventure, Fantasy",102382,"['Action', 'Adventure', 'Fantasy']"
Handsome Devil,English,2017,Drama,412202,['Drama']
The Boy Next Door,English,2015,Thriller,241251,['Thriller']
Before I Fall,English,2017,"Mystery, Drama, Thriller",397837,"['Mystery', 'Drama', 'Thriller']"
Interrogation,English,2016,"Action, Thriller",414719,"['Action', 'Thriller']"
Alexander,English,2004,"War, History, Action, Adventure, Drama, Romance",1966,"['War', 'History', 'Action', 'Adventure', 'Drama', 'Romance']"
Angels & Demons,English,2009,"Thriller, Mystery",13448,"['Thriller', 'Mystery']"
The Girl,English,2012,"TV Movie, Drama",133557,"['TV Movie', 'Drama']"
Dan in Real Life,English,2007,"Comedy, Romance, Drama",7211,"['Comedy', 'Romance', 'Drama']"
Rock of Ages,English,2012,"Comedy, Drama, Music, Romance",80585,"['Comedy', 'Drama', 'Music', 'Romance']"
No Reservations,English,2007,Comedy,3638,['Comedy']
Spider-Man 3,English,2007,"Fantasy, Action, Adventure",559,"['Fantasy', 'Action', 'Adventure']"
The Man from London,English,2008,"Crime, Drama, Mystery, Thriller",31262,"['Crime', 'Drama', 'Mystery', 'Thriller']"
Winged Creatures,English,2008,"Crime, Drama",16056,"['Crime', 'Drama']"
The Founder,English,2016,"Drama, History",310307,"['Drama', 'History']"
Final Fantasy: The Spirits Within,English,2001,"Adventure, Action, Animation, Fantasy, Science Fiction, Thriller",2114,"['Adventure', 'Action', 'Animation', 'Fantasy', 'Science Fiction', 'Thriller']"
The Brass Teapot,English,2012,"Comedy, Fantasy, Thriller",127867,"['Comedy', 'Fantasy', 'Thriller']"
The Duchess,English,2008,"Drama, History, Romance",12783,"['Drama', 'History', 'Romance']"
The Conjuring 2,English,2016,Horror,259693,['Horror']
Delivery Man,English,2013,Comedy,146239,['Comedy']
"Monsters, Inc.",English,2001,"Animation, Comedy, Family",585,"['Animation', 'Comedy', 'Family']"
"I, Daniel Blake",English,2016,Drama,374473,['Drama']
Whitney,English,2015,"Romance, Drama, Music",319096,"['Romance', 'Drama', 'Music']"
Thank You for Smoking,English,2005,"Comedy, Drama",9388,"['Comedy', 'Drama']"
Death Race: Inferno,English,2013,"Action, Science Fiction, Thriller",156717,"['Action', 'Science Fiction', 'Thriller']"
Oz: The Great and Powerful,English,2013,"Fantasy, Adventure, Family",68728,"['Fantasy', 'Adventure', 'Family']"
The Rocker,English,2008,"Comedy, Music",10186,"['Comedy', 'Music']"
The Manchurian Candidate,English,2004,"Drama, Thriller, Mystery",14462,"['Drama', 'Thriller', 'Mystery']"
Antitrust,English,2001,"Action, Crime, Drama",9989,"['Action', 'Crime', 'Drama']"
Alice Through the Looking Glass,English,2016,"Family, Fantasy",241259,"['Family', 'Fantasy']"
Spotlight,English,2015,"Drama, Thriller, History",314365,"['Drama', 'Thriller', 'History']"
Coyote Ugly,English,2000,"Comedy, Drama, Music, Romance",6282,"['Comedy', 'Drama', 'Music', 'Romance']"
Need for Speed,English,2014,"Action, Crime, Drama, Thriller",136797,"['Action', 'Crime', 'Drama', 'Thriller']"
Nanny McPhee and the Big Bang,English,2010,"Comedy, Fantasy",35019,"['Comedy', 'Fantasy']"
The Secret Life of Walter Mitty,English,2013,"Adventure, Comedy, Drama, Fantasy",116745,"['Adventure', 'Comedy', 'Drama', 'Fantasy']"
Quantum of Solace,English,2008,"Adventure, Action, Thriller, Crime",10764,"['Adventure', 'Action', 'Thriller', 'Crime']"
Thanks for Sharing,English,2012,"Comedy, Drama",112200,"['Comedy', 'Drama']"
Barry,English,2016,Drama,397717,['Drama']
Good Neighbours,English,2011,"Thriller, Drama",64320,"['Thriller', 'Drama']"
Ultimate Avengers 2,English,2006,"Adventure, Animation, Action, Science Fiction",14611,"['Adventure', 'Animation', 'Action', 'Science Fiction']"
Before I Wake,English,2016,"Drama, Fantasy, Horror, Thriller",301804,"['Drama', 'Fantasy', 'Horror', 'Thriller']"
The Little Vampire,English,2000,"Family, Horror",24100,"['Family', 'Horror']"
Danny Collins,English,2015,"Comedy, Drama, Music",256924,"['Comedy', 'Drama', 'Music']"
Margin Call,English,2011,"Thriller, Drama",50839,"['Thriller', 'Drama']"
Signs,English,2002,"Drama, Thriller, Science Fiction, Mystery",2675,"['Drama', 'Thriller', 'Science Fiction', 'Mystery']"
Zodiac,English,2007,"Crime, Drama, Mystery, Thriller",1949,"['Crime', 'Drama', 'Mystery', 'Thriller']"
Imperium,English,2016,"Crime, Drama, Thriller",374617,"['Crime', 'Drama', 'Thriller']"
Journey 2: The Mysterious Island,English,2012,"Adventure, Action, Science Fiction",72545,"['Adventure', 'Action', 'Science Fiction']"
Big Hero 6,English,2014,"Adventure, Family, Animation, Action, Comedy",177572,"['Adventure', 'Family', 'Animation', 'Action', 'Comedy']"
Arachnoquake,English,2012,"Horror, Science Fiction",116463,"['Horror', 'Science Fiction']"
Conan the Barbarian,English,2011,"Adventure, Fantasy, Action",37430,"['Adventure', 'Fantasy', 'Action']"
Tour de Pharmacy,English,2017,"Comedy, TV Movie",458506,"['Comedy', 'TV Movie']"
The Game Plan,English,2007,"Comedy, Family",13680,"['Comedy', 'Family']"
Staten Island,English,2009,"Drama, Action, Thriller, Crime",25927,"['Drama', 'Action', 'Thriller', 'Crime']"
Austenland,English,2013,"Comedy, Romance",156711,"['Comedy', 'Romance']"
Jonah Hex,English,2010,"Action, Western, Drama, Fantasy, Thriller",20533,"['Action', 'Western', 'Drama', 'Fantasy', 'Thriller']"
22 Jump Street,English,2014,"Crime, Comedy, Action",187017,"['Crime', 'Comedy', 'Action']"
The Revenant,English,2015,"Western, Drama, Adventure, Thriller",281957,"['Western', 'Drama', 'Adventure', 'Thriller']"
It Comes at Night,English,2017,"Horror, Mystery, Thriller",418078,"['Horror', 'Mystery', 'Thriller']"
The Limits of Control,English,2009,"Crime, Drama, Thriller, Mystery",8284,"['Crime', 'Drama', 'Thriller', 'Mystery']"
Death of a Superhero,English,2011,"Animation, Drama",91551,"['Animation', 'Drama']"
No Good Deed,English,2014,"Crime, Thriller",136835,"['Crime', 'Thriller']"
Reasonable Doubt,English,2014,"Crime, Thriller",240916,"['Crime', 'Thriller']"
The Fate of the Furious,English,2017,"Action, Crime, Thriller",337339,"['Action', 'Crime', 'Thriller']"
Suffragette,English,2015,"Drama, History",245168,"['Drama', 'History']"
Scream 3,English,2000,"Horror, Mystery",4234,"['Horror', 'Mystery']"
Black Knight,English,2001,"Adventure, Comedy, Fantasy",11469,"['Adventure', 'Comedy', 'Fantasy']"
Fracture,English,2007,Thriller,6145,['Thriller']
The Other Boleyn Girl,English,2008,Drama,12184,['Drama']
The Yards,English,2000,"Drama, Action, Thriller, Crime",19457,"['Drama', 'Action', 'Thriller', 'Crime']"
"Guns, Girls and Gambling",English,2011,"Crime, Thriller",132923,"['Crime', 'Thriller']"
Ultraviolet,English,2006,"Science Fiction, Action, Thriller",9920,"['Science Fiction', 'Action', 'Thriller']"
Underworld,English,2003,"Fantasy, Action, Thriller",277,"['Fantasy', 'Action', 'Thriller']"
Christopher and His Kind,English,2011,"Drama, Romance",60170,"['Drama', 'Romance']"
Miss Peregrine's Home for Peculiar Children,English,2016,"Drama, Fantasy, Adventure",283366,"['Drama', 'Fantasy', 'Adventure']"
Final Destination 2,English,2003,"Horror, Mystery",9358,"['Horror', 'Mystery']"
The Chronicles of Narnia: Prince Caspian,English,2008,"Adventure, Family, Fantasy",2454,"['Adventure', 'Family', 'Fantasy']"
While She Was Out,English,2008,"Action, Adventure, Drama, Horror, Thriller",15749,"['Action', 'Adventure', 'Drama', 'Horror', 'Thriller']"
Art School Confidential,English,2006,"Comedy, Drama",9786,"['Comedy', 'Drama']"
King Arthur: Legend of the Sword,English,2017,"Action, Drama, Fantasy",274857,"['Action', 'Drama', 'Fantasy']"
The Missing,English,2003,"Thriller, Western, Adventure",12146,"['Thriller', 'Western', 'Adventure']"
Man on a Ledge,English,2012,"Action, Thriller, Crime",49527,"['Action', 'Thriller', 'Crime']"
Anonymous,English,2011,"Drama, History, Thriller",61891,"['Drama', 'History', 'Thriller']"
The Bucket List,English,2007,"Drama, Comedy",7350,"['Drama', 'Comedy']"
Oblivion,English,2013,"Action, Science Fiction, Adventure, Mystery",75612,"['Action', 'Science Fiction', 'Adventure', 'Mystery']"
Cyberbully,English,2015,"Drama, Thriller",317144,"['Drama', 'Thriller']"
Stitches,English,2012,Horror,115210,['Horror']
Oculus,English,2013,Horror,157547,['Horror']
Backcountry,English,2015,"Drama, Horror, Thriller",228973,"['Drama', 'Horror', 'Thriller']"
Mother's Day,English,2016,Comedy,353069,['Comedy']
Flags of Our Fathers,English,2006,"War, Drama, History",3683,"['War', 'Drama', 'History']"
Whiskey Tango Foxtrot,English,2016,"War, Comedy",279641,"['War', 'Comedy']"
Chopper,English,2000,"Crime, Drama, Thriller",9519,"['Crime', 'Drama', 'Thriller']"
The Big Short,English,2015,"Comedy, Drama",318846,"['Comedy', 'Drama']"
White House Down,English,2013,"Action, Drama, Thriller",117251,"['Action', 'Drama', 'Thriller']"
Shadow of the Vampire,English,2000,"Drama, Horror",10873,"['Drama', 'Horror']"
Under Suspicion,English,2000,"Mystery, Thriller",10562,"['Mystery', 'Thriller']"
Like Crazy,English,2011,"Drama, Romance",60420,"['Drama', 'Romance']"
"Chill Out, Scooby-Doo!",English,2007,"Action, Adventure, Animation, Family, Mystery",13354,"['Action', 'Adventure', 'Animation', 'Family', 'Mystery']"
47 Meters Down,English,2017,"Drama, Thriller, Horror, Adventure",403119,"['Drama', 'Thriller', 'Horror', 'Adventure']"
Endless Love,English,2014,"Drama, Romance",226857,"['Drama', 'Romance']"
Kung Fu Panda,English,2008,"Adventure, Animation, Family, Comedy",9502,"['Adventure', 'Animation', 'Family', 'Comedy']"
Serenity,English,2005,"Science Fiction, Action, Adventure, Thriller",16320,"['Science Fiction', 'Action', 'Adventure', 'Thriller']"
Forever Strong,English,2008,Drama,31451,['Drama']
Species: The Awakening,English,2007,"Horror, Science Fiction, Thriller",15212,"['Horror', 'Science Fiction', 'Thriller']"
Alvin and the Chipmunks: The Squeakquel,English,2009,"Comedy, Family, Animation, Fantasy, Music",23398,"['Comedy', 'Family', 'Animation', 'Fantasy', 'Music']"
Hercules,English,2014,"Action, Adventure",184315,"['Action', 'Adventure']"
Pride and Prejudice and Zombies,English,2016,"Romance, Horror, Comedy, Thriller",58431,"['Romance', 'Horror', 'Comedy', 'Thriller']"
Spread,English,2009,Comedy,19918,['Comedy']
No Strings Attached,English,2011,"Comedy, Romance",41630,"['Comedy', 'Romance']"
The Giver,English,2014,"Drama, Science Fiction",227156,"['Drama', 'Science Fiction']"
The Magnificent Seven,English,2016,"Adventure, Action, Western",333484,"['Adventure', 'Action', 'Western']"
Certified Copy,English,2010,"Drama, Romance",48303,"['Drama', 'Romance']"
Ong-Bak: The Thai Warrior,English,2003,"Action, Thriller",9316,"['Action', 'Thriller']"
Hollow Man,English,2000,"Action, Science Fiction, Thriller",9383,"['Action', 'Science Fiction', 'Thriller']"
Big Driver,English,2014,"Crime, Mystery, Thriller",297961,"['Crime', 'Mystery', 'Thriller']"
The Covenant,English,2006,"Action, Adventure, Fantasy, Horror, Science Fiction, Thriller",9954,"['Action', 'Adventure', 'Fantasy', 'Horror', 'Science Fiction', 'Thriller']"
Tomorrowland,English,2015,"Adventure, Family, Mystery, Science Fiction",158852,"['Adventure', 'Family', 'Mystery', 'Science Fiction']"
All the Boys Love Mandy Lane,English,2008,"Horror, Mystery, Thriller",9022,"['Horror', 'Mystery', 'Thriller']"
The Informant!,English,2009,"Drama, Comedy, Crime",11323,"['Drama', 'Comedy', 'Crime']"
Dante's Inferno: An Animated Epic,English,2010,"Action, Adventure, Animation, Horror",31967,"['Action', 'Adventure', 'Animation', 'Horror']"
The Tourist,English,2010,"Action, Thriller, Romance",37710,"['Action', 'Thriller', 'Romance']"
Wild Child,English,2008,Comedy,13971,['Comedy']
Harry Potter and the Half-Blood Prince,English,2009,"Adventure, Fantasy, Family",767,"['Adventure', 'Fantasy', 'Family']"
Search Party,English,2014,Comedy,239568,['Comedy']
American Hustle,English,2013,"Drama, Crime",168672,"['Drama', 'Crime']"
Agent Cody Banks,English,2003,Action,10923,['Action']
Friday Night Lights,English,2004,Drama,13416,['Drama']
Bowling for Columbine,English,2002,Documentary,1430,['Documentary']
Anchorman: The Legend of Ron Burgundy,English,2004,Comedy,8699,['Comedy']
Pride & Prejudice,English,2005,"Drama, Romance",4348,"['Drama', 'Romance']"
Bad Milo,English,2013,"Comedy, Horror",172828,"['Comedy', 'Horror']"
Pitch Perfect 2,English,2015,"Comedy, Music",254470,"['Comedy', 'Music']"
Their Finest,English,2017,"Romance, War, Comedy, Drama",340101,"['Romance', 'War', 'Comedy', 'Drama']"
Dead Rising: Watchtower,English,2015,"Horror, Science Fiction",293771,"['Horror', 'Science Fiction']"
The Quiet American,English,2002,"Drama, Action, Thriller, Romance",8198,"['Drama', 'Action', 'Thriller', 'Romance']"
Valiant,English,2005,"Animation, Family, Adventure",14175,"['Animation', 'Family', 'Adventure']"
Never Back Down 2: The Beatdown,English,2011,"Drama, Action",70006,"['Drama', 'Action']"
Spiders,English,2013,"Science Fiction, Thriller",164331,"['Science Fiction', 'Thriller']"
Frequently Asked Questions About Time Travel,English,2009,"Drama, Comedy, Science Fiction, Romance",22494,"['Drama', 'Comedy', 'Science Fiction', 'Romance']"
A Mighty Heart,English,2007,"Drama, Thriller",1988,"['Drama', 'Thriller']"
21 Jump Street,English,2012,"Action, Comedy, Crime",64688,"['Action', 'Comedy', 'Crime']"
Kandukondain Kandukondain,English,2000,"Drama, Romance, Foreign",69426,"['Drama', 'Romance', 'Foreign']"
The Line,English,2008,"Action, Crime, Drama, Thriller",21878,"['Action', 'Crime', 'Drama', 'Thriller']"
"I, Robot",English,2004,"Action, Science Fiction",2048,"['Action', 'Science Fiction']"
Terminator Genisys,English,2015,"Science Fiction, Action, Thriller, Adventure",87101,"['Science Fiction', 'Action', 'Thriller', 'Adventure']"
Ghost Rider: Spirit of Vengeance,English,2011,"Action, Fantasy, Thriller",71676,"['Action', 'Fantasy', 'Thriller']"
Daddy's Home,English,2015,Comedy,274167,['Comedy']
Romeo Must Die,English,2000,"Action, Crime, Thriller",2085,"['Action', 'Crime', 'Thriller']"
Pulse,English,2006,"Horror, Thriller",9682,"['Horror', 'Thriller']"
Holiday in Handcuffs,English,2007,"TV Movie, Comedy, Romance, Family",24446,"['TV Movie', 'Comedy', 'Romance', 'Family']"
Mary and Martha,English,2013,Drama,176339,['Drama']
Cloud Atlas,English,2012,"Drama, Science Fiction",83542,"['Drama', 'Science Fiction']"
Wind River,English,2017,"Action, Crime, Mystery, Thriller",395834,"['Action', 'Crime', 'Mystery', 'Thriller']"
The Condemned,English,2007,"Action, Thriller",14636,"['Action', 'Thriller']"
Not Another Teen Movie,English,2001,Comedy,11397,['Comedy']
Proof of Life,English,2000,"Action, Adventure, Drama, Romance, Thriller",11983,"['Action', 'Adventure', 'Drama', 'Romance', 'Thriller']"
Legally Blonde,English,2001,Comedy,8835,['Comedy']
Ride Along,English,2014,"Action, Comedy",168530,"['Action', 'Comedy']"
Man of Steel,English,2013,"Action, Adventure, Fantasy, Science Fiction",49521,"['Action', 'Adventure', 'Fantasy', 'Science Fiction']"
Mean Creek,English,2004,"Crime, Drama",12281,"['Crime', 'Drama']"
Gangs of New York,English,2002,"Drama, History, Crime",3131,"['Drama', 'History', 'Crime']"
Amateur Night,English,2016,Comedy,376581,['Comedy']
War Games: The Dead Code,English,2008,"Science Fiction, Drama, Thriller",14154,"['Science Fiction', 'Drama', 'Thriller']"
The Smurfs,English,2011,"Animation, Family, Adventure, Comedy, Fantasy",41513,"['Animation', 'Family', 'Adventure', 'Comedy', 'Fantasy']"
The Pact,English,2012,"Horror, Mystery, Thriller",111440,"['Horror', 'Mystery', 'Thriller']"
Freedom Writers,English,2007,"Crime, Drama",1646,"['Crime', 'Drama']"
Dinosaur,English,2000,"Animation, Family",10567,"['Animation', 'Family']"
Once,English,2007,"Drama, Music, Romance",5723,"['Drama', 'Music', 'Romance']"
Northmen: A Viking Saga,English,2014,Adventure,286873,['Adventure']
Descendants,English,2015,"Adventure, Action, Comedy, Family",277217,"['Adventure', 'Action', 'Comedy', 'Family']"
Django Unchained,English,2012,"Drama, Western",68718,"['Drama', 'Western']"
Man on Fire,English,2004,"Action, Drama, Thriller, Crime",9509,"['Action', 'Drama', 'Thriller', 'Crime']"
Factory Girl,English,2006,Drama,12271,['Drama']
The Amazing Spider-Man,English,2012,"Action, Adventure, Fantasy",1930,"['Action', 'Adventure', 'Fantasy']"
Pixels,English,2015,"Action, Comedy, Science Fiction",257344,"['Action', 'Comedy', 'Science Fiction']"
Walking With Dinosaurs,English,2013,"Animation, Family, Adventure",77951,"['Animation', 'Family', 'Adventure']"
The Social Network,English,2010,Drama,37799,['Drama']
Triage,English,2009,"Drama, Thriller, Mystery",33195,"['Drama', 'Thriller', 'Mystery']"
Ouija: Origin of Evil,English,2016,"Horror, Thriller",335796,"['Horror', 'Thriller']"
Horrible Bosses 2,English,2014,Comedy,227159,['Comedy']
The Great Raid,English,2005,"Action, History, War",13922,"['Action', 'History', 'War']"
Ordinary Decent Criminal,English,2000,"Comedy, Thriller",12490,"['Comedy', 'Thriller']"
Extortion,English,2017,"Action, Adventure, Crime, Drama, Thriller",333354,"['Action', 'Adventure', 'Crime', 'Drama', 'Thriller']"
Star Wars: Episode III - Revenge of the Sith,English,2005,"Science Fiction, Adventure, Action",1895,"['Science Fiction', 'Adventure', 'Action']"
Step Up 3D,English,2010,"Drama, Romance",41233,"['Drama', 'Romance']"
Altitude,English,2017,"Action, Thriller",443700,"['Action', 'Thriller']"
Presto,English,2008,"Animation, Family",13042,"['Animation', 'Family']"
The Polar Express,English,2004,"Adventure, Animation, Family, Fantasy",5255,"['Adventure', 'Animation', 'Family', 'Fantasy']"
Citadel,English,2012,"Horror, Drama, Thriller",52001,"['Horror', 'Drama', 'Thriller']"
Nerve,English,2016,"Mystery, Adventure, Crime",328387,"['Mystery', 'Adventure', 'Crime']"
The Good Shepherd,English,2006,"Drama, Thriller, History",1247,"['Drama', 'Thriller', 'History']"
Samsara,English,2011,"Drama, Documentary",89708,"['Drama', 'Documentary']"
Hawaiian Vacation,English,2011,"Animation, Family",77887,"['Animation', 'Family']"
Bee Movie,English,2007,"Family, Animation, Adventure, Comedy",5559,"['Family', 'Animation', 'Adventure', 'Comedy']"
The Cat in the Hat,English,2003,"Comedy, Fantasy, Family",10588,"['Comedy', 'Fantasy', 'Family']"
The Survivalist,English,2015,"Drama, Science Fiction, Thriller",329004,"['Drama', 'Science Fiction', 'Thriller']"
Salton Sea,English,2002,"Crime, Drama, Mystery, Thriller",11468,"['Crime', 'Drama', 'Mystery', 'Thriller']"
Head-On,English,2004,"Drama, Romance",363,"['Drama', 'Romance']"
Vampires Suck,English,2010,"Horror, Comedy",40264,"['Horror', 'Comedy']"
The Girl Next Door,English,2004,Comedy,10591,['Comedy']
Burn Notice: The Fall of Sam Axe,English,2011,"Comedy, Crime, Drama, Mystery, Thriller",61537,"['Comedy', 'Crime', 'Drama', 'Mystery', 'Thriller']"
The Baker,English,2007,"Comedy, Crime",14606,"['Comedy', 'Crime']"
Unleashed,English,2005,"Action, Crime",10027,"['Action', 'Crime']"
About Schmidt,English,2002,"Drama, Comedy",2755,"['Drama', 'Comedy']"
The Jacket,English,2005,"Drama, Mystery, Thriller, Fantasy",9667,"['Drama', 'Mystery', 'Thriller', 'Fantasy']"
17 Again,English,2009,Comedy,16996,['Comedy']
Husk,English,2011,"Horror, Thriller",56906,"['Horror', 'Thriller']"
Equilibrium,English,2002,"Action, Science Fiction, Thriller",7299,"['Action', 'Science Fiction', 'Thriller']"
Wrong Turn,English,2003,"Horror, Thriller",9902,"['Horror', 'Thriller']"
The Wedding Ringer,English,2015,Comedy,252838,['Comedy']
Bad Company,English,2002,"Action, Adventure, Comedy, Thriller",3132,"['Action', 'Adventure', 'Comedy', 'Thriller']"
Funny People,English,2009,"Comedy, Drama",20829,"['Comedy', 'Drama']"
"Have Dreams, Will Travel",English,2007,"Drama, Romance",14552,"['Drama', 'Romance']"
Piper,English,2016,"Family, Animation",399106,"['Family', 'Animation']"
Chicken Little,English,2005,"Animation, Family, Comedy",9982,"['Animation', 'Family', 'Comedy']"
Joint Security Area,English,2000,"War, Drama, Thriller",2440,"['War', 'Drama', 'Thriller']"
A Family Man,English,2017,Drama,375183,['Drama']
The Score,English,2001,"Action, Crime, Thriller",11371,"['Action', 'Crime', 'Thriller']"
Precious Cargo,English,2016,"Action, Crime, Thriller",384737,"['Action', 'Crime', 'Thriller']"
Hello I Must Be Going,English,2012,"Drama, Comedy, Romance",84281,"['Drama', 'Comedy', 'Romance']"
The Human Stain,English,2003,"Drama, Thriller, Romance",10922,"['Drama', 'Thriller', 'Romance']"
Rust and Bone,English,2012,"Drama, Romance",97365,"['Drama', 'Romance']"
Aquamarine,English,2006,"Fantasy, Romance, Family, Comedy",14191,"['Fantasy', 'Romance', 'Family', 'Comedy']"
Hard Candy,English,2005,"Drama, Thriller",2652,"['Drama', 'Thriller']"
Battleship,English,2012,"Thriller, Action, Adventure, Science Fiction",44833,"['Thriller', 'Action', 'Adventure', 'Science Fiction']"
After the Sunset,English,2004,"Action, Comedy, Crime, Drama",10589,"['Action', 'Comedy', 'Crime', 'Drama']"
The Captive,English,2014,"Drama, Thriller, Crime",244761,"['Drama', 'Thriller', 'Crime']"
Edge of Darkness,English,2010,"Crime, Drama, Mystery, Thriller",12201,"['Crime', 'Drama', 'Mystery', 'Thriller']"
Absolutely Anything,English,2015,"Comedy, Science Fiction",86828,"['Comedy', 'Science Fiction']"
The Expendables 3,English,2014,"Action, Adventure, Thriller",138103,"['Action', 'Adventure', 'Thriller']"
Rio,English,2011,"Animation, Adventure, Comedy, Family",46195,"['Animation', 'Adventure', 'Comedy', 'Family']"
Gnomeo & Juliet,English,2011,"Animation, Family",45772,"['Animation', 'Family']"
Zoom,English,2006,"Family, Fantasy, Comedy",14113,"['Family', 'Fantasy', 'Comedy']"
Grimsby,English,2016,"Action, Comedy",267193,"['Action', 'Comedy']"
Casino Jack,English,2010,"Crime, Comedy, Drama",45324,"['Crime', 'Comedy', 'Drama']"
A Late Quartet,English,2012,"Music, Drama",121879,"['Music', 'Drama']"
Gossip,English,2000,"Drama, Mystery, Thriller",18041,"['Drama', 'Mystery', 'Thriller']"
Batman Unlimited: Animal Instincts,English,2015,"Action, Animation, Family",327418,"['Action', 'Animation', 'Family']"
Resident Evil: Degeneration,English,2008,"Animation, Horror, Action, Science Fiction",13648,"['Animation', 'Horror', 'Action', 'Science Fiction']"
Sharpshooter,English,2007,"TV Movie, Action, Thriller",22672,"['TV Movie', 'Action', 'Thriller']"
Cake,English,2005,"Drama, Comedy, Romance",24123,"['Drama', 'Comedy', 'Romance']"
Overdrive,English,2017,"Thriller, Action",404733,"['Thriller', 'Action']"
Shrooms,English,2007,Horror,14456,['Horror']
The Shortcut,English,2009,"Mystery, Horror, Thriller",22175,"['Mystery', 'Horror', 'Thriller']"
Legend of the Guardians: The Owls of Ga'Hoole,English,2010,"Animation, Adventure, Family, Fantasy",41216,"['Animation', 'Adventure', 'Family', 'Fantasy']"
Predators,English,2010,"Action, Science Fiction, Adventure, Thriller",34851,"['Action', 'Science Fiction', 'Adventure', 'Thriller']"
Transcendence,English,2014,"Thriller, Science Fiction, Drama, Mystery",157353,"['Thriller', 'Science Fiction', 'Drama', 'Mystery']"
The Assassination of Jesse James by the Coward Robert Ford,English,2007,"Action, Drama, Western",4512,"['Action', 'Drama', 'Western']"
Shrek 2,English,2004,"Adventure, Animation, Comedy, Family, Fantasy",809,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy']"
Scary Movie 5,English,2013,Comedy,4258,['Comedy']
The Edge of Seventeen,English,2016,"Comedy, Drama",376660,"['Comedy', 'Drama']"
Highlander: Endgame,English,2000,"Action, Fantasy, Science Fiction",12211,"['Action', 'Fantasy', 'Science Fiction']"
